Facility ID,Facility Name,HCAHPS Measure ID,HCAHPS Question,Patient Survey Star Rating,Start Date,End Date
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_COMP_2_STAR_RATING,Doctor communication - star rating,4,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_COMP_5_STAR_RATING,Communication about medicines - star rating,3,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_COMP_6_STAR_RATING,Discharge information - star rating,3,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_CLEAN_STAR_RATING,Cleanliness - star rating,3,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_QUIET_STAR_RATING,Quietness - star rating,4,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,4,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_RECMND_STAR_RATING,Recommend hospital - star rating,5,07/01/2024,06/30/2025
010001,SOUTHEAST HEALTH MEDICAL CENTER,H_STAR_RATING,Summary star rating,4,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_COMP_2_STAR_RATING,Doctor communication - star rating,4,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_COMP_5_STAR_RATING,Communication about medicines - star rating,2,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_COMP_6_STAR_RATING,Discharge information - star rating,3,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_CLEAN_STAR_RATING,Cleanliness - star rating,3,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_QUIET_STAR_RATING,Quietness - star rating,4,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_RECMND_STAR_RATING,Recommend hospital - star rating,3,07/01/2024,06/30/2025
010005,MARSHALL MEDICAL CENTERS,H_STAR_RATING,Summary star rating,3,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_COMP_1_STAR_RATING,Nurse communication - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_COMP_2_STAR_RATING,Doctor communication - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_COMP_5_STAR_RATING,Communication about medicines - star rating,1,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_COMP_6_STAR_RATING,Discharge information - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_CLEAN_STAR_RATING,Cleanliness - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_QUIET_STAR_RATING,Quietness - star rating,4,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_RECMND_STAR_RATING,Recommend hospital - star rating,2,07/01/2024,06/30/2025
010006,NORTH ALABAMA MEDICAL CENTER,H_STAR_RATING,Summary star rating,2,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_COMP_1_STAR_RATING,Nurse communication - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_COMP_2_STAR_RATING,Doctor communication - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_COMP_5_STAR_RATING,Communication about medicines - star rating,2,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_COMP_6_STAR_RATING,Discharge information - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_CLEAN_STAR_RATING,Cleanliness - star rating,2,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_QUIET_STAR_RATING,Quietness - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_RECMND_STAR_RATING,Recommend hospital - star rating,3,07/01/2024,06/30/2025
010011,ST. VINCENT'S EAST,H_STAR_RATING,Summary star rating,3,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_COMP_1_STAR_RATING,Nurse communication - star rating,4,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_COMP_2_STAR_RATING,Doctor communication - star rating,3,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_COMP_5_STAR_RATING,Communication about medicines - star rating,3,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_COMP_6_STAR_RATING,Discharge information - star rating,3,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_CLEAN_STAR_RATING,Cleanliness - star rating,2,07/01/2024,06/30/2025
010012,DEKALB REGIONAL MEDICAL CENTER,H_QUIET_STAR_RATING,Quietness - star rating,3,07/01/2024,06/30/2025
